,Fe,Mn,Ni,Co,Cr,del_G,del_H,Cp_FCC,VASP-PAW-GGA LSE_Avg,VASP-PAW-GGA LSE_Var,SGTE LSE_Avg,SGTE LSE_Var,Allen EN_Avg,Allen EN_Var,Pauling EN_Avg,Pauling EN_Var,Density_Avg,Density_Var,Atomic Weight_Avg,Atomic Weight_Var,Valence e_Avg,Valence e_Var,IE_Avg,IE_Var,Melting Point_Avg,Melting Point_Var,Specific Heat_Avg,Specific Heat_Var,Metallic Radius_Avg,Metallic Radius_Var,Shear Modulus_Avg,Shear Modulus_Var,Total Electrons_Avg,Total Electrons_Var,Atomic Planar Density_Avg,Atomic Planar Density_Var,C_11_Avg,C_11_Var,C_12_Avg,C_12_Var,C'_Avg,C'_Var,Heat of fusion_Avg,Heat of fusion_Var
0,20,20,0,60,0,-494.1357924377317,673.7337977646766,39.221444,-334.79999999999995,3314.5957641920677,-90.60000000000001,896.9675166916583,181.4,1795.8600351920525,180.39999999999998,1785.9604620483622,837.5999999999999,8292.242235487334,5751.639999999999,56941.23871542943,840.0,8316.003848002958,75220.0,744678.020489661,145380.0,1439262.3846609762,2516.0,24908.400679288905,12560.0,124344.00025735058,7720.0,76428.00376825238,2640.0,26136.00122436483,1838.5321999999999,18201.46892828075,25120.0,248691.59969729578,20080.0,198792.3298319128,2520.0,24960.755597537507,1512.0,14968.805964404775
1,20,25,0,55,0,-786.3736574614777,-307.8800464218402,25.52873,-339.9,3365.0833035751134,-93.45000000000002,925.1810452554679,180.95,1791.4050394871617,178.75,1769.6255416047768,830.4499999999999,8221.457424538547,5731.665000000001,56743.48639422454,830.0,8217.004320310414,75004.5,742544.5741102349,144135.0,1426936.9552313795,2523.5,24982.650783093453,12570.0,124443.00028527116,7720.0,76428.00376825238,2630.0,26037.001363444295,1835.6324,18172.760924599977,25640.0,253839.70532601868,20330.0,201267.3207453212,2655.0,26296.841540382753,1497.0,14820.306373351395
2,20,30,0,50,0,-767.2989209222396,-300.5746046121185,25.599116,-345.0,3415.5708395522997,-96.30000000000001,953.3945757135396,180.5,1786.9500426704715,177.1,1753.2906071156601,823.3,8150.67255415159,5711.6900000000005,56545.734003707745,820.0,8118.004680954551,74789.0,740411.1271244511,142890.0,1414611.5160742896,2531.0,25056.9008638339,12580.0,124542.00030511795,7720.0,76428.00376825238,2620.0,25938.001465031957,1832.7325999999998,18144.052916336354,26160.0,258987.79631480708,20580.0,203742.3088118911,2790.0,27632.960934362425,1482.0,14671.806637220925
3,20,35,0,45,0,-734.7395867673458,-265.4474354677241,25.697948,-350.09999999999997,3466.0583722724573,-99.15,981.6081079025377,180.05,1782.4950447336453,175.45,1736.9556581847446,816.1500000000001,8079.887622764318,5691.715,56347.981543149304,810.0,8019.004925799709,74573.5,738277.679527053,141645.0,1402286.066933206,2538.5,25131.150921714667,12590.0,124641.00031691017,7720.0,76428.00376825238,2610.0,25839.001528696885,1829.8328,18115.3449034681,26680.0,264135.8735196717,20830.0,206217.29413412444,2925.0,28969.109150955956,1467.0,14523.306751563157
4,20,40,0,40,0,-689.2364697170815,-215.1594558480315,25.779076,-355.19999999999993,3516.5459018758725,-102.00000000000001,1009.8216416773807,179.60000000000002,1778.0400456682637,173.79999999999998,1720.6206944007151,809.0,8009.102628759355,5671.74,56150.2290118092,800.0,7920.0050505034405,74358.0,736144.2313127231,140400.0,1389960.6075425304,2546.0,25205.400956937778,12600.0,124740.000320667,7720.0,76428.00376825238,2600.0,25740.00155400151,1826.933,18086.636885973283,27200.0,269283.93773116136,21080.0,208692.2768096606,3060.0,30305.282377829775,1452.0,14374.806711743988
5,20,45,0,35,0,-637.0038328453611,-194.5414255058045,26.775583,-360.29999999999995,3567.033428494888,-104.85000000000001,1038.0351769087597,179.15,1773.5850454658216,172.14999999999998,1704.2857153364862,801.8499999999999,7938.31757046164,5651.765,55952.47640893695,790.0,7821.00505050342,74142.5,734010.7824760819,139155.0,1377635.1376271585,2553.5,25279.650969702885,12610.0,124839.00031640753,7720.0,76428.00376825238,2590.0,25641.001540501493,1824.0331999999999,18057.92886382984,27720.0,274431.98968050355,21330.0,211167.25693156125,3195.0,31641.477446541587,1437.0,14226.306512935815
6,20,50,0,30,0,-595.3844536932702,-288.5427752208107,27.727228,-365.4,3617.520952254458,-107.70000000000002,1066.2487134810528,178.7,1769.1300441177295,170.5,1687.9507205484406,794.6999999999999,7867.532446135827,5631.79,55754.72373377138,780.0,7722.004921003353,73927.0,731877.3330116872,137910.0,1365309.6569020525,2561.0,25353.900960207284,12620.0,124938.00030415086,7720.0,76428.00376825238,2580.0,25542.00148774563,1821.1334,18029.220837015568,28240.0,279580.03004506597,21580.0,213642.23458857567,3330.0,32977.69170211887,1422.0,14077.806150107339
7,20,55,0,25,0,-550.0392767927879,-239.3213847654424,27.488045,-370.5,3668.0084732726555,-110.55000000000001,1094.4622512905596,178.25,1764.675041615311,168.85,1671.615709575619,787.55,7796.747253983548,5611.815,55556.970985540545,770.0,7623.00465695778,73711.5,729743.882914033,136665.0,1352984.1650717868,2568.5,25428.15092864599,12630.0,125037.00028391596,7720.0,76428.00376825238,2570.0,25443.001395275674,1818.2336,18000.51280550811,28760.0,284728.05945322633,21830.0,216117.20986538762,3465.0,34313.92290310159,1407.0,13929.305618012693
8,20,60,0,20,0,-481.4875278086874,-174.7335077350217,27.408707,-375.59999999999997,3718.4959916611447,-113.4,1122.6757902440045,177.8,1760.2200379498015,167.2,1655.2806819388666,780.3999999999999,7725.961992140525,5591.84,55359.218163461446,760.0,7524.004253055683,73496.0,727610.4321775492,135420.0,1340658.6618300723,2576.0,25502.400875211726,12640.0,125136.00025572178,7720.0,76428.00376825238,2560.0,25344.001262626232,1815.3338,17971.804769284987,29280.0,289876.0784887225,22080.0,218592.1828428455,3600.0,35650.16914405877,1392.0,13780.804911179897
9,25,20,0,55,0,-830.3575375830496,235.6340491394785,25.999762,-363.65,3600.2158341549466,-99.65,986.5635379943859,181.2,1793.8800344504646,180.14999999999998,1783.48545536542,832.65,8243.237240520255,5736.200000000001,56788.38273638721,835.0,8266.503795438553,75230.5,744781.9706164685,145595.0,1441390.8932850242,2517.5,24923.250665793978,12565.0,124393.50025222379,7750.0,76725.00439882686,2635.0,26086.501202729352,1837.06505,18186.944140551605,23655.0,234188.95679557565,20525.0,203197.85438089646,1565.0,15517.596302262797,1500.0,14850.006060604825
